,price
2024-01-01 01:00:00+01:00,0.01
2024-01-01 02:00:00+01:00,0.0
2024-01-01 03:00:00+01:00,-0.01
2024-01-01 04:00:00+01:00,-0.03
2024-01-01 05:00:00+01:00,-0.02
2024-01-01 06:00:00+01:00,-0.05
2024-01-01 07:00:00+01:00,-0.02
2024-01-01 08:00:00+01:00,0.0
2024-01-01 09:00:00+01:00,0.04
2024-01-01 10:00:00+01:00,0.06
2024-01-01 11:00:00+01:00,0.54
2024-01-01 12:00:00+01:00,2.24
2024-01-01 13:00:00+01:00,1.96
2024-01-01 14:00:00+01:00,1.04
2024-01-01 15:00:00+01:00,3.66
2024-01-01 16:00:00+01:00,43.06
2024-01-01 17:00:00+01:00,49.93
2024-01-01 18:00:00+01:00,58.0
2024-01-01 19:00:00+01:00,54.25
2024-01-01 20:00:00+01:00,48.01
2024-01-01 21:00:00+01:00,42.95
2024-01-01 22:00:00+01:00,47.09
2024-01-01 23:00:00+01:00,35.55
2024-01-02 00:00:00+01:00,30.59
2024-01-02 01:00:00+01:00,20.07
