t,level,marginal,lower,upper,scale
t0,1.8,103.8946288728605,0.2,1.8,1.0
t1,0.27,0.0,0.2,1.8,1.0
t2,0.27,0.0,0.2,1.8,1.0
t3,0.27,0.0,0.2,1.8,1.0
t4,0.27,0.0,0.2,1.8,1.0
t5,0.27,0.0,0.2,1.8,1.0
t6,0.27,0.0,0.2,1.8,1.0
t7,0.27,0.0,0.2,1.8,1.0
t8,0.27,0.0,0.2,1.8,1.0
t9,0.27,0.0,0.2,1.8,1.0
t10,1.8,0.0,0.2,1.8,1.0
t11,1.8,0.0,0.2,1.8,1.0
t12,1.8,0.0,0.2,1.8,1.0
t13,1.8,0.0,0.2,1.8,1.0
t14,1.8,0.0,0.2,1.8,1.0
t15,1.8,0.0,0.2,1.8,1.0
t16,1.8,2.3594256481150637,0.2,1.8,1.0
t17,1.8,0.0,0.2,1.8,1.0
t18,1.8,0.0,0.2,1.8,1.0
t19,0.2,-0.386919976697385,0.2,1.8,1.0
t20,0.2,0.0,0.2,1.8,1.0
t21,0.2,0.0,0.2,1.8,1.0
t22,0.2,0.0,0.2,1.8,1.0
t23,0.2,0.0,0.2,1.8,1.0
t24,0.2,0.0,0.2,1.8,1.0
t25,0.2,0.0,0.2,1.8,1.0
t26,0.2,0.0,0.2,1.8,1.0
t27,0.2,-0.9049818530067171,0.2,1.8,1.0
t28,0.2,0.0,0.2,1.8,1.0
t29,0.2,0.0,0.2,1.8,1.0
t30,0.2,0.0,0.2,1.8,1.0
t31,0.2,0.0,0.2,1.8,1.0
t32,0.2,0.0,0.2,1.8,1.0
t33,0.2,0.0,0.2,1.8,1.0
t34,1.73,0.0,0.2,1.8,1.0
t35,1.8,1.306501425698201,0.2,1.8,1.0
t36,1.8,0.0,0.2,1.8,1.0
t37,1.8,0.0,0.2,1.8,1.0
t38,1.8,0.0,0.2,1.8,1.0
t39,1.8,0.0,0.2,1.8,1.0
t40,1.8,0.0,0.2,1.8,1.0
t41,1.8,0.0,0.2,1.8,1.0
t42,1.8,0.0,0.2,1.8,1.0
t43,0.2,-0.3972246472180103,0.2,1.8,1.0
t44,0.2,0.0,0.2,1.8,1.0
t45,0.2,0.0,0.2,1.8,1.0
t46,0.2,0.0,0.2,1.8,1.0
t47,0.2,-1.0633860481557917,0.2,1.8,1.0
t48,0.2,0.0,0.2,1.8,1.0
t49,0.2,0.0,0.2,1.8,1.0
t50,0.2,0.0,0.2,1.8,1.0
t51,0.2,0.0,0.2,1.8,1.0
t52,0.2,0.0,0.2,1.8,1.0
t53,0.2,0.0,0.2,1.8,1.0
t54,0.2,0.0,0.2,1.8,1.0
t55,0.2,0.0,0.2,1.8,1.0
t56,0.2,0.0,0.2,1.8,1.0
t57,0.2,0.0,0.2,1.8,1.0
t58,1.73,0.0,0.2,1.8,1.0
t59,1.8,0.0,0.2,1.8,1.0
t60,1.8,0.0,0.2,1.8,1.0
t61,1.8,0.0,0.2,1.8,1.0
t62,1.8,0.0,0.2,1.8,1.0
t63,1.8,0.0,0.2,1.8,1.0
t64,1.8,1.497321394119325,0.2,1.8,1.0
t65,1.8,0.0,0.2,1.8,1.0
t66,1.8,0.0,0.2,1.8,1.0
t67,1.8,0.0,0.2,1.8,1.0
t68,1.8,0.0,0.2,1.8,1.0
t69,0.2,0.0,0.2,1.8,1.0
t70,0.2,0.0,0.2,1.8,1.0
t71,0.2,0.0,0.2,1.8,1.0
t72,0.2,0.0,0.2,1.8,1.0
t73,0.2,0.0,0.2,1.8,1.0
t74,0.2,0.0,0.2,1.8,1.0
t75,0.2,-1.4265017093505037,0.2,1.8,1.0
t76,0.2,0.0,0.2,1.8,1.0
t77,0.2,0.0,0.2,1.8,1.0
t78,0.2,0.0,0.2,1.8,1.0
t79,0.2,0.0,0.2,1.8,1.0
t80,0.2,0.0,0.2,1.8,1.0
t81,0.2,0.0,0.2,1.8,1.0
t82,1.73,0.0,0.2,1.8,1.0
t83,1.8,0.0,0.2,1.8,1.0
t84,1.8,0.0,0.2,1.8,1.0
t85,1.8,0.0,0.2,1.8,1.0
t86,1.8,1.317927510978791,0.2,1.8,1.0
t87,1.8,0.0,0.2,1.8,1.0
t88,1.8,0.0,0.2,1.8,1.0
t89,1.8,0.0,0.2,1.8,1.0
t90,1.8,0.0,0.2,1.8,1.0
t91,0.2,-0.1864184686586441,0.2,1.8,1.0
t92,0.2,0.0,0.2,1.8,1.0
t93,0.2,0.0,0.2,1.8,1.0
t94,0.2,0.0,0.2,1.8,1.0
t95,0.2,0.0,0.2,1.8,1.0
t96,0.2,0.0,0.2,1.8,1.0
t97,0.2,0.0,0.2,1.8,1.0
t98,0.2,0.0,0.2,1.8,1.0
t99,0.2,-1.310087333309113,0.2,1.8,1.0
t100,0.2,0.0,0.2,1.8,1.0
t101,0.2,0.0,0.2,1.8,1.0
t102,0.2,0.0,0.2,1.8,1.0
t103,0.2,0.0,0.2,1.8,1.0
t104,0.2,0.0,0.2,1.8,1.0
t105,0.2,0.0,0.2,1.8,1.0
t106,1.73,0.0,0.2,1.8,1.0
t107,1.8,0.0,0.2,1.8,1.0
t108,1.8,0.0,0.2,1.8,1.0
t109,1.8,0.0,0.2,1.8,1.0
t110,1.8,0.0,0.2,1.8,1.0
t111,1.8,0.0,0.2,1.8,1.0
t112,1.8,0.0,0.2,1.8,1.0
t113,1.8,0.0,0.2,1.8,1.0
t114,1.8,1.6027313893160482,0.2,1.8,1.0
t115,0.2,-0.18913496758293036,0.2,1.8,1.0
t116,0.2,0.0,0.2,1.8,1.0
t117,0.2,0.0,0.2,1.8,1.0
t118,0.2,0.0,0.2,1.8,1.0
t119,0.2,0.0,0.2,1.8,1.0
t120,0.2,0.0,0.2,1.8,1.0
t121,0.2,0.0,0.2,1.8,1.0
t122,0.2,0.0,0.2,1.8,1.0
t123,0.2,-1.389276813920759,0.2,1.8,1.0
t124,0.2,0.0,0.2,1.8,1.0
t125,0.2,0.0,0.2,1.8,1.0
t126,0.2,0.0,0.2,1.8,1.0
t127,0.2,0.0,0.2,1.8,1.0
t128,0.2,0.0,0.2,1.8,1.0
t129,0.2,0.0,0.2,1.8,1.0
t130,1.73,0.0,0.2,1.8,1.0
t131,1.8,1.5792699363155123,0.2,1.8,1.0
t132,1.8,0.0,0.2,1.8,1.0
t133,1.8,0.0,0.2,1.8,1.0
t134,1.8,0.0,0.2,1.8,1.0
t135,1.8,0.0,0.2,1.8,1.0
t136,1.8,0.0,0.2,1.8,1.0
t137,1.8,0.0,0.2,1.8,1.0
t138,1.8,0.0,0.2,1.8,1.0
t139,0.2,-0.451937629995939,0.2,1.8,1.0
t140,0.2,0.0,0.2,1.8,1.0
t141,0.2,0.0,0.2,1.8,1.0
t142,0.2,0.0,0.2,1.8,1.0
t143,0.2,0.0,0.2,1.8,1.0
t144,0.2,0.0,0.2,1.8,1.0
t145,0.2,0.0,0.2,1.8,1.0
t146,0.2,0.0,0.2,1.8,1.0
t147,0.2,0.0,0.2,1.8,1.0
t148,0.2,-1.0807785606359914,0.2,1.8,1.0
t149,0.2,0.0,0.2,1.8,1.0
t150,0.2,0.0,0.2,1.8,1.0
t151,0.2,0.0,0.2,1.8,1.0
t152,0.2,0.0,0.2,1.8,1.0
t153,0.2,0.0,0.2,1.8,1.0
t154,1.73,0.0,0.2,1.8,1.0
t155,1.8,0.0,0.2,1.8,1.0
t156,1.8,0.0,0.2,1.8,1.0
t157,1.8,0.0,0.2,1.8,1.0
t158,1.8,0.0,0.2,1.8,1.0
t159,1.8,0.0,0.2,1.8,1.0
t160,1.8,0.0,0.2,1.8,1.0
t161,1.8,0.0,0.2,1.8,1.0
t162,1.8,1.5547249752181642,0.2,1.8,1.0
t163,0.2,-0.5103352923515843,0.2,1.8,1.0
t164,0.2,0.0,0.2,1.8,1.0
t165,0.2,0.0,0.2,1.8,1.0
t166,0.2,0.0,0.2,1.8,1.0
t167,0.2,0.0,0.2,1.8,1.0
t168,0.2,0.0,0.2,1.8,1.0
t169,0.2,0.0,0.2,1.8,1.0
t170,0.2,0.0,0.2,1.8,1.0
t171,0.2,0.0,0.2,1.8,1.0
t172,0.2,0.0,0.2,1.8,1.0
t173,0.2,-0.8672565134785373,0.2,1.8,1.0
t174,0.2,0.0,0.2,1.8,1.0
t175,0.2,0.0,0.2,1.8,1.0
t176,0.2,0.0,0.2,1.8,1.0
t177,0.2,0.0,0.2,1.8,1.0
t178,1.73,0.0,0.2,1.8,1.0
t179,1.8,0.0,0.2,1.8,1.0
t180,1.8,0.0,0.2,1.8,1.0
t181,1.8,1.376515874549753,0.2,1.8,1.0
t182,1.8,0.0,0.2,1.8,1.0
t183,1.8,0.0,0.2,1.8,1.0
t184,1.8,0.0,0.2,1.8,1.0
t185,1.8,0.0,0.2,1.8,1.0
t186,1.8,0.0,0.2,1.8,1.0
t187,1.8,0.0,0.2,1.8,1.0
t188,1.8,0.0,0.2,1.8,1.0
t189,0.2,0.0,0.2,1.8,1.0
t190,0.2,0.0,0.2,1.8,1.0
t191,0.2,0.0,0.2,1.8,1.0
t192,0.2,0.0,0.2,1.8,1.0
t193,0.2,0.0,0.2,1.8,1.0
t194,0.2,0.0,0.2,1.8,1.0
t195,0.2,0.0,0.2,1.8,1.0
t196,0.2,0.0,0.2,1.8,1.0
t197,0.2,-1.5607272426865677,0.2,1.8,1.0
t198,0.2,0.0,0.2,1.8,1.0
t199,0.2,0.0,0.2,1.8,1.0
t200,0.2,0.0,0.2,1.8,1.0
t201,0.2,0.0,0.2,1.8,1.0
t202,1.73,0.0,0.2,1.8,1.0
t203,1.8,0.0,0.2,1.8,1.0
t204,1.8,0.0,0.2,1.8,1.0
t205,1.8,0.0,0.2,1.8,1.0
t206,1.8,0.0,0.2,1.8,1.0
t207,1.8,1.5194024387601104,0.2,1.8,1.0
t208,1.8,0.0,0.2,1.8,1.0
t209,1.8,0.0,0.2,1.8,1.0
t210,1.8,0.0,0.2,1.8,1.0
t211,0.2,0.0,0.2,1.8,1.0
t212,0.2,-0.12794874596082195,0.2,1.8,1.0
t213,0.2,0.0,0.2,1.8,1.0
t214,0.2,0.0,0.2,1.8,1.0
t215,0.2,0.0,0.2,1.8,1.0
t216,0.2,0.0,0.2,1.8,1.0
t217,0.2,0.0,0.2,1.8,1.0
t218,0.2,0.0,0.2,1.8,1.0
t219,0.2,0.0,0.2,1.8,1.0
t220,0.2,-1.4165017397025252,0.2,1.8,1.0
t221,0.2,0.0,0.2,1.8,1.0
t222,0.2,0.0,0.2,1.8,1.0
t223,0.2,0.0,0.2,1.8,1.0
t224,0.2,0.0,0.2,1.8,1.0
t225,0.2,0.0,0.2,1.8,1.0
t226,1.73,0.0,0.2,1.8,1.0
t227,1.8,0.0,0.2,1.8,1.0
t228,1.8,0.0,0.2,1.8,1.0
t229,1.8,0.0,0.2,1.8,1.0
t230,1.8,0.0,0.2,1.8,1.0
t231,1.8,0.0,0.2,1.8,1.0
t232,1.8,0.0,0.2,1.8,1.0
t233,1.8,1.4779834765839865,0.2,1.8,1.0
t234,1.8,0.0,0.2,1.8,1.0
t235,0.2,-0.36944902407701363,0.2,1.8,1.0
t236,0.2,0.0,0.2,1.8,1.0
t237,0.2,0.0,0.2,1.8,1.0
t238,0.2,0.0,0.2,1.8,1.0
t239,0.2,0.0,0.2,1.8,1.0
t240,0.2,0.0,0.2,1.8,1.0
t241,0.2,0.0,0.2,1.8,1.0
t242,0.2,-1.08746515954752,0.2,1.8,1.0
t243,0.2,0.0,0.2,1.8,1.0
t244,0.2,0.0,0.2,1.8,1.0
t245,0.2,0.0,0.2,1.8,1.0
t246,0.2,0.0,0.2,1.8,1.0
t247,0.2,0.0,0.2,1.8,1.0
t248,0.2,0.0,0.2,1.8,1.0
t249,0.2,0.0,0.2,1.8,1.0
t250,1.73,0.0,0.2,1.8,1.0
t251,1.8,0.0,0.2,1.8,1.0
t252,1.8,0.0,0.2,1.8,1.0
t253,1.8,0.0,0.2,1.8,1.0
t254,1.8,1.3662115388211618,0.2,1.8,1.0
t255,1.8,0.0,0.2,1.8,1.0
t256,1.8,0.0,0.2,1.8,1.0
t257,1.8,0.0,0.2,1.8,1.0
t258,1.8,0.0,0.2,1.8,1.0
t259,0.2,-0.15432210721698425,0.2,1.8,1.0
t260,0.2,0.0,0.2,1.8,1.0
t261,0.2,0.0,0.2,1.8,1.0
t262,0.2,0.0,0.2,1.8,1.0
t263,0.2,0.0,0.2,1.8,1.0
t264,0.2,0.0,0.2,1.8,1.0
t265,0.2,-1.2880777237980965,0.2,1.8,1.0
t266,0.2,0.0,0.2,1.8,1.0
t267,0.2,0.0,0.2,1.8,1.0
t268,0.2,0.0,0.2,1.8,1.0
t269,0.2,0.0,0.2,1.8,1.0
t270,0.2,0.0,0.2,1.8,1.0
t271,0.2,0.0,0.2,1.8,1.0
t272,0.2,0.0,0.2,1.8,1.0
t273,0.2,0.0,0.2,1.8,1.0
t274,1.73,0.0,0.2,1.8,1.0
t275,1.8,1.4507075824786568,0.2,1.8,1.0
t276,1.8,0.0,0.2,1.8,1.0
t277,1.8,0.0,0.2,1.8,1.0
t278,1.8,0.0,0.2,1.8,1.0
t279,1.8,0.0,0.2,1.8,1.0
t280,1.8,0.0,0.2,1.8,1.0
t281,1.8,0.0,0.2,1.8,1.0
t282,1.8,0.0,0.2,1.8,1.0
t283,1.8,0.0,0.2,1.8,1.0
t284,1.8,0.0355122131674932,0.2,1.8,1.0
t285,0.2,0.0,0.2,1.8,1.0
t286,0.2,0.0,0.2,1.8,1.0
t287,0.2,0.0,0.2,1.8,1.0
t288,0.2,0.0,0.2,1.8,1.0
t289,0.2,0.0,0.2,1.8,1.0
t290,0.2,0.0,0.2,1.8,1.0
t291,0.2,0.0,0.2,1.8,1.0
t292,0.2,0.0,0.2,1.8,1.0
t293,0.2,0.0,0.2,1.8,1.0
t294,0.2,-1.2153187833429229,0.2,1.8,1.0
t295,0.2,0.0,0.2,1.8,1.0
t296,0.2,0.0,0.2,1.8,1.0
t297,0.2,0.0,0.2,1.8,1.0
t298,1.73,0.0,0.2,1.8,1.0
t299,1.8,0.0,0.2,1.8,1.0
t300,1.8,0.0,0.2,1.8,1.0
t301,1.8,0.0,0.2,1.8,1.0
t302,1.8,0.0,0.2,1.8,1.0
t303,1.8,0.0,0.2,1.8,1.0
t304,1.8,1.1533270568178438,0.2,1.8,1.0
t305,1.8,0.0,0.2,1.8,1.0
t306,1.8,0.0,0.2,1.8,1.0
t307,0.2,-0.1885669220580155,0.2,1.8,1.0
t308,0.2,0.0,0.2,1.8,1.0
t309,0.2,0.0,0.2,1.8,1.0
t310,0.2,0.0,0.2,1.8,1.0
t311,0.2,0.0,0.2,1.8,1.0
t312,0.2,0.0,0.2,1.8,1.0
t313,0.2,0.0,0.2,1.8,1.0
t314,0.2,0.0,0.2,1.8,1.0
t315,0.2,0.0,0.2,1.8,1.0
t316,0.2,0.0,0.2,1.8,1.0
t317,0.2,0.0,0.2,1.8,1.0
t318,0.2,0.0,0.2,1.8,1.0
t319,0.2,-1.0022649260891825,0.2,1.8,1.0
t320,0.2,0.0,0.2,1.8,1.0
t321,0.2,0.0,0.2,1.8,1.0
t322,1.73,0.0,0.2,1.8,1.0
t323,1.8,1.338031513723081,0.2,1.8,1.0
t324,1.8,0.0,0.2,1.8,1.0
t325,1.8,0.0,0.2,1.8,1.0
t326,1.8,0.0,0.2,1.8,1.0
t327,1.8,0.0,0.2,1.8,1.0
t328,1.8,0.0,0.2,1.8,1.0
t329,1.8,0.0,0.2,1.8,1.0
t330,1.8,0.0,0.2,1.8,1.0
t331,0.2,-0.3320391503314255,0.2,1.8,1.0
t332,0.2,0.0,0.2,1.8,1.0
t333,0.2,0.0,0.2,1.8,1.0
t334,0.2,-1.0351665692845131,0.2,1.8,1.0
t335,0.2,0.0,0.2,1.8,1.0
t336,0.2,0.0,0.2,1.8,1.0
t337,0.2,0.0,0.2,1.8,1.0
t338,0.2,0.0,0.2,1.8,1.0
t339,0.2,0.0,0.2,1.8,1.0
t340,0.2,0.0,0.2,1.8,1.0
t341,0.2,0.0,0.2,1.8,1.0
t342,0.2,0.0,0.2,1.8,1.0
t343,0.2,0.0,0.2,1.8,1.0
t344,0.2,0.0,0.2,1.8,1.0
t345,0.2,0.0,0.2,1.8,1.0
t346,1.73,0.0,0.2,1.8,1.0
t347,1.8,0.0,0.2,1.8,1.0
t348,1.8,0.0,0.2,1.8,1.0
t349,1.8,0.0,0.2,1.8,1.0
t350,1.8,0.0,0.2,1.8,1.0
t351,1.8,0.0,0.2,1.8,1.0
t352,1.8,1.7919285528299014,0.2,1.8,1.0
t353,1.8,0.0,0.2,1.8,1.0
t354,1.8,0.0,0.2,1.8,1.0
t355,0.2,-0.7519332211021066,0.2,1.8,1.0
t356,0.2,0.0,0.2,1.8,1.0
t357,0.2,0.0,0.2,1.8,1.0
t358,0.2,0.0,0.2,1.8,1.0
t359,0.2,0.0,0.2,1.8,1.0
t360,0.2,0.0,0.2,1.8,1.0
t361,0.2,0.0,0.2,1.8,1.0
t362,0.2,0.0,0.2,1.8,1.0
t363,0.2,0.0,0.2,1.8,1.0
t364,0.2,0.0,0.2,1.8,1.0
t365,0.2,-1.0017817678108543,0.2,1.8,1.0
t366,0.2,0.0,0.2,1.8,1.0
t367,0.2,0.0,0.2,1.8,1.0
t368,0.2,0.0,0.2,1.8,1.0
t369,0.2,0.0,0.2,1.8,1.0
t370,1.73,0.0,0.2,1.8,1.0
t371,1.8,0.0,0.2,1.8,1.0
t372,1.8,0.0,0.2,1.8,1.0
t373,1.8,1.2229507277285876,0.2,1.8,1.0
